"Name","RawId","IsShow","ISO639Code","LanguageName","LanguageSelectTitle","languageicon","LagnuageSelectDesc","LagnuageSelectAccept","LagnuageSelectCancel"
"1","5","1","ENG","English","Select a language","4004","The game will start in the selected language.\r\nLanguage can be changed in <span color=""#1DDB16"">Language Settings in Options</>.","Confirm","Cancel"
"2","2","1","CHT","中文 繁體","語言選擇","4001","遊戲以您選擇的語言開始。\r\n將語言更改為<span color=""#1DDB16"">\r\n可以在選項的語言設置</>中進行更改。","確認","取消"
"3","3","1","CHS","中文 简体","语言选择","4002","游戏将以选定的语言开始。\r\n语言可以在<span color=""#1DDB16"">\r\n选项的语言设置</>中进行更改。","确认","取消"
"4","4","1","JPN","日本語","言語選択","4003","ゲームが選択した言語で開始されます。\r\n言語を変更するには<span color=""#1DDB16"">オプションの言語設定</>で変更することができます。","選択","取消"
"5","1","1","KOR","한국어","언어 선택","4005","게임이 선택하신 언어로 시작됩니다.\r\n언어 변경은 <span color=""#1DDB16"">옵션의 언어 설정</>에서 변경할 수 있습니다.","확인","취소"
"6","6","1","THA","ไทย","เลือกภาษา","4006","เกมจะเริ่มในภาษาที่เลือก\r\nสามารถเปลี่ยนภาษาได้ใน <span color=""#1DDB16"">การตั้งค่าภาษาในตัวเลือก</>","ตกลง","ยกเลิก"
"7","7","1","IND","Indonesia","Pilih Bahasa","4007","Permainan akan dimulai dalam bahasa yang dipilih.\r\nBahasa dapat diubah di <span color=""#1DDB16"">Opsi Pengaturan Bahasa</>.","OK","Batal"
"8","8","1","VIE","Tiếng Việt","Chọn Ngôn ngữ","4008","Trò chơi sẽ bắt đầu bằng ngôn ngữ đã chọn.\r\nThay đổi ngôn ngữ trong <span color=""#1DDB16"">Cài đặt Ngôn ngữ trong phần Lựa chọn</>.","OK","Hủy"
"9","9","1","GER","Deutsche","Eine Sprache auswählen","4009","Das Spiel wird in der ausgewählten Sprache gestartet.\r\nDie Sprache kann in den <span color=""#1DDB16"">Spracheinstellungen in den Optionen</> geändert werden.","Aceptar","Cancelar"
"10","10","1","SPA","Español","Seleccione un idioma","4010","El juego comenzará en el idioma seleccionado.\r\ nEl idioma se puede cambiar en <span color=""#1DDB16""> Configuración de Idioma en Opciones</>.","OK","Cancelar"
"11","11","1","POR","Portugues","Selecione um idioma","4011","O jogo será iniciado no idioma selecionado.\r\nO idioma pode ser alterado em <span color = ""# 1DDB16""> Configurações de idioma em Opções </>.","OK","Abbrechen"
"12","12","1","RUS","Pусский","Выберите язык","4012","Игра будет запущена на выбранном языке.\r\nЯзык можно изменить в <span color=""#1DDB16"">меню Языковых Настроек в Опциях</>.","OK","Отмена"
