"StageID","StageNameSID"
"1","Unnamed"
"2","Unnamed"
"3","Unnamed"
"4","Unnamed"
"5","Unnamed"
"6","Unnamed"
"101","Bicheon Castle Siege"
"201","Attack Route #1"
"202","Attack Route #2"
"203","Attack Route #3"
"204","Attack Route #4"
"205","Attack Route #5"
"206","Attack Route #6"
"207","Attack Route #7"
"208","Attack Route #8"
"211","Sabuk North Gate"
"212","Sabuk East Gate"
"213","Sabuk South Gate"
"214","Sabuk West Gate"
"221","Sabuk Castle"
"1001","Outpost"
"2021","Duel Arena"
"3010","Bicheon Castle Underground Vault"
"10010","Bicheon Labyrinth 1F"
"10011","Bicheon Labyrinth 2F"
"10012","Bicheon Labyrinth 3F"
"10013","Bicheon Labyrinth 4F"
"10020","Demon Bull Labyrinth 1F"
"10021","Demon Bull Labyrinth 2F"
"10022","Demon Bull Labyrinth 3F"
"10023","Demon Bull Labyrinth 4F"
"10030","Snake Pit Labyrinth 1F"
"10031","Snake Pit Labyrinth 2F"
"10032","Snake Pit Labyrinth 3F"
"10033","Snake Pit Labyrinth 4F"
"10040","Abandoned Mine Labyrinth 1F"
"10041","Abandoned Mine Labyrinth 2F"
"10042","Abandoned Mine Labyrinth 3F"
"10043","Abandoned Mine Labyrinth 4F"
"10050","Heaven's Way Labyrinth 1F"
"10051","Heaven's Way Labyrinth 2F"
"10052","Heaven's Way Labyrinth 3F"
"10053","Heaven's Way Labyrinth 4F"
"10060","Redmoon Labyrinth 1F"
"10061","Redmoon Labyrinth 2F"
"10062","Redmoon Labyrinth 3F"
"10063","Redmoon Labyrinth 4F"
"10070","Phantasia Labyrinth 1F"
"10071","Phantasia Labyrinth 2F"
"10072","Phantasia Labyrinth 3F"
"10073","Phantasia Labyrinth 4F"
"10080","Rockcut Labyrinth 1F"
"10081","Rockcut Labyrinth 2F"
"10082","Rockcut Labyrinth 3F"
"10083","Rockcut Labyrinth 4F"
"10090","Sabuk Labyrinth 1F"
"10091","Sabuk Labyrinth 2F"
"10092","Sabuk Labyrinth 3F"
"10093","Sabuk Labyrinth 4F"
"10100","Nine Dragon Labyrinth 1F"
"10101","Nine Dragon Labyrinth 2F"
"10102","Nine Dragon Labyrinth 3F"
"10103","Nine Dragon Labyrinth 4F"
"11001","Crimson Abaddon"
"11002","Shackling Abaddon"
"12001","Black Flame Abaddon"
"12002","Violet Abaddon"
"13001","Sanctuary of Hydra"
"300120","[Mystery] Backstreet Stonehall"
"300140","[Mystery] Underwater Cave"
"300150","[Mystery] Bewitching Labyrinth"
"300160","[Mystery] Warmonger's Cave"
"300240","[Mystery] Jo Gyu's Secret Jail"
"300250","[Mystery] Backstreet Gambling Den"
"300260","[Mystery] Wanteds Hollow"
"300270","[Mystery] Bullface Fiend's Lair"
"300280","[Mystery] Nefariox Necropolis Depths"
"300290","[Mystery] Healer's Abode"
"300300","[Mystery] Saeyul's Manor"
"300310","[Mystery] Bullface Fiend Castle"
"300320","[Mystery] Wuam's Abode"
"300330","Cryptic Sanctuary"
"300340","[Mystery] Phantom Vale"
"300350","[Mystery] Viperbeast Domain"
"300360","[Mystery] Viperbeast's Labyrinth"
"300370","[Mystery] Flory Village"
"300380","[Mystery] Spirit's Spring"
"300390","[Mystery] Hidden Cave"
"300400","[Mystery] Redmoon Mountain Goblin Village"
"300410","[Mystery] Heaven's Way Peak Tunnel"
"300420","[Mystery] Demon's Haunt"
"300430","Hidden Ruins"
"300440","Fort Phantasia Rockcut Sealed Room"
"300450","East Heaven Clan Underground Vault"
"300460","[Mystery] Followers' Hideout"
"300470","Bicheon Prison"
"300480","Bicheon Sanctuary"
"300490","[Mysteries] Redmoon Sanctuary"
"300500","White Tiger Lair"
"300510","Sabuk Castle Abandoned Jail"
"300520","[Mystery] New Heaven Protector Cult Site"
"300530","[Mystery] Nine Dragon Sanctuary"
"300540","Abandoned Temple"
"300550","[Mystery] Ma Gujin's Hideout"
"400003","ë¯¸ì‚¬ìš©"
"500000","Beauty Parlor"
"100002010","Peach Blossom Valley"
"100002012","Peach Blossom Valley Under Raid"
"100002020","Seashore Cliff"
"100004010","Underground Valley"
"100004020","Bicheon Castle Underground Jail"
"101001010","Bicheon Castle"
"101003010","Ginkgo Valley"
"101003020","Bicheon Castle Backstreet"
"101003030","Bicheon Town"
"101003040","Hidden Cliff Path"
"101003060","Arcadia Spirit Village"
"101004010","Nefariox Necropolis 1F"
"101004020","Nefariox Necropolis 2F"
"101004030","Nefariox Ruins 1F"
"101004040","Nefariox Ruins 2F"
"101005010","Blight Bug Cave"
"101005020","Bicheon Castle Taphouse"
"101005040","Bicheon Castle Wall"
"102003010","Bullface Forest"
"102004010","Demon Bull Temple 1F"
"102004040","Demon Bull Temple 2F"
"102004050","Bullface Mountain"
"102004070","Demon Bull Temple 3F"
"102005020","Bullface Fiend King's Sanctuary"
"103003010","Snake Pit"
"103003020","Upper Death Gorge"
"103003030","Lower Death Gorge"
"103003040","Recluse Valley"
"103003050","Grand Centipedeus' Swamp"
"103003060","Training Cave"
"103003070","Viperbeast Plain"
"103004010","Snake Cave"
"104003010","Isolated Peak"
"104004010","Collapsed Ruins"
"104004040","Abandoned Mine 1F"
"104004050","Pakua Stonehall"
"104004060","Secret Mine 2F"
"104004070","Secret Mine 1F"
"104004090","Abandoned Mine 2F"
"104004100","Abandoned Mine 3F"
"104005010","Whitemaur Sealing Circle"
"105001010","Sinner's Shire"
"105001020","Seocheon Trading Post"
"105002010","Phantom Woods"
"105002020","Spiritual Center"
"105002050","Heaven's Way Peak Lower Level"
"105002060","Heaven's Way Peak Mid Level"
"105002070","Heaven's Way Peak Upper Level"
"106001010","Redmoon Mountain"
"106001020","Underground Holding Cell"
"106001030","Emei Sect's Secret Hermitage"
"106002010","Redmoon Gorge 1F"
"106002020","Redmoon Gorge 2F"
"106002030","Redmoon Gorge 3F"
"106002040","Redmoon Gorge Heart"
"107001010","Phantasia Desert"
"107001020","Desert Road"
"107002010","Ant Hole 1F"
"107002020","Ant Hole 2F"
"107003010","Sabuk Town"
"107003020","Sabuk Castle Underground Jail"
"108001010","Rockcut Tomb 1F"
"108001020","Rockcut Tomb 2F"
"108001030","Rockcut Tomb 3F"
"108001040","Bladehaven 1F"
"108001050","Bladehaven 2F"
"109001010","Sabuk Castle"
"109001020","Gorge Cliff Path"
"109001030","Gorge Cave"
"109001040","Great Sabuk Wall Camp"
"109001050","Great Sabuk Wall Supply Depot"
"109001060","Great Sabuk Wall Control Room"
"110001010","Nine Dragon Ice Field"
"110001020","Nine Dragon Ice Palace"
"110002010","Sagittarion Temple 1F"
"110002020","Sagittarion Temple 2F"
"110002030","Sagittarion Temple 3F"
"110003010","Black Dragon's Abode"
"110500010","Mirage Ship Deck"
"110500020","Mirage Ship Inner Cabins"
"110500030","Mirage Ship Engine Room"
"110500040","World of Void"
"110500050","World of Void"
"110501010","[World 1] Bullface Forest"
"110501020","[World 1] Demon Bull Temple 1F"
"110501030","[World 1] Demon Bull Temple 2F"
"110501040","[World 1] Demon Bull Temple 3F"
"110501050","[World 1] Bullface Fiend King's Sanctuary"
"110502010","[World 8] Snake Pit"
"110502020","[World 8] Snake Cave"
"110502030","[World 8] Pakua Stonehall"
"110502040","[World 8] Abandoned Mine 1F"
"110502050","[World 8] Abandoned Mine 2F"
"110502060","[World 8] Abandoned Mine 3F"
"110502070","[World 8] Whitemaur Sealing Circle"
"110503010","[World 7] Redmoon Gorge 1F"
"110503020","[World 7] Redmoon Gorge 2F"
"110503030","[World 7] Redmoon Gorge 3F"
"110503040","[World 7] Demonic Cult Main Hall"
